text,id,primary_topic,secondary_topic,doc_id,processed_text,topic,Topic_Label
algorithms data in terms of algorithms prediction detection fraud concerning learning analysis financial,doc_1,Financial Technology,Data Science,doc_0,algorithms datum term algorithm prediction detection fraud concern learn analysis financial,Topic_13,"Financial & Fraud & Detection (financial, datum)"
financial models also algorithmic algorithmic risk prediction concerning market risk market financial related to market,doc_2,Financial Technology,None,doc_1,financial model algorithmic algorithmic risk prediction concern market risk market financial relate market,Topic_10,"Financial & Analysis & Prediction (market, financial)"
market models related to trading prediction analysis algorithmic specifically financial financial financial trading,doc_3,Financial Technology,None,doc_2,market model relate trading prediction analysis algorithmic specifically financial financial financial trading,Topic_10,"Financial & Analysis & Prediction (market, financial)"
prevention analytics concerning prediction healthcare prediction prediction regarding analytics care hospital,doc_4,Healthcare Analytics,None,doc_3,prevention analytic concern prediction healthcare prediction prediction analytic care hospital,Topic_8,"Healthcare & Prediction & Hospital (analytic, healthcare)"
visualization analysis and statistics statistics,doc_5,Data Science,None,doc_4,visualization analysis statistic statistic,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
pandas matplotlib in terms of python projects science python for science science,doc_6,Data Science,None,doc_5,panda matplotlib term python project science python science science,Topic_14,"Data Science & Visualization & Datum (matplotlib, science)"
optimization forecasting regarding optimization transformers tokens language related to text language natural natural regarding optimization processing generation tokens regarding forecasting tokens,doc_7,AI Technology,Sustainable Energy,doc_6,optimization forecasting optimization transformer token language relate text language natural natural optimization processing generation token forecast token,Topic_0,"Language & Generation (token, natural)"
trading market concerning analysis trading market risk concerning,doc_8,Financial Technology,None,doc_7,trading market concern analysis trading market risk concern,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
energy efficiency for energy generation hydroelectric power related to wind efficiency hydroelectric,doc_9,Sustainable Energy,None,doc_8,energy efficiency energy generation hydroelectric power relate wind efficiency hydroelectric,Topic_3,"Energy & Efficiency & Hydroelectric (generation, energy)"
hospital prediction with prevention prediction,doc_10,Healthcare Analytics,None,doc_9,hospital prediction prevention prediction,Topic_8,"Healthcare & Prediction & Hospital (analytic, healthcare)"
computation data specifically computation hadoop hadoop hadoop,doc_11,Data Science,None,doc_10,computation datum specifically computation hadoop hadoop hadoop,Topic_2,"Datum & Computation (big, spark)"
agents policy for optimization environments reinforcement policy for,doc_12,AI Technology,None,doc_11,agent policy optimization environment reinforcement policy,Topic_7,"Optimization & Policy (reinforcement, reward)"
optimization grid in terms of analysis optimization consumption smart about models forecasting consumption,doc_13,Sustainable Energy,None,doc_12,optimization grid term analysis optimization consumption smart model forecast consumption,Topic_6,"Energy & Optimization & Grid (consumption, analysis)"
evidence clinical about clinical support,doc_14,Healthcare Analytics,None,doc_13,evidence clinical clinical support,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
matplotlib science for pandas projects visualization science with numpy science matplotlib data including,doc_15,Data Science,None,doc_14,matplotlib science panda project visualization science numpy science matplotlib datum include,Topic_14,"Data Science & Visualization & Datum (matplotlib, science)"
streaming processing and data streaming data streaming and pipelines data processing spark,doc_16,Data Science,None,doc_15,stream processing datum stream datum streaming pipeline datum processing spark,Topic_2,"Datum & Computation (big, spark)"
analysis forecasting for forecasting consumption analysis consumption regarding analysis analysis grid optimization for optimization grid grid,doc_17,Sustainable Energy,None,doc_16,analysis forecasting forecast consumption analysis consumption analysis analysis grid optimization optimization grid grid,Topic_6,"Energy & Optimization & Grid (consumption, analysis)"
models capacity also batteries efficiency capacity models about innovation energy storage efficiency regarding innovation technology efficiency,doc_18,Sustainable Energy,AI Technology,doc_17,model capacity batterie efficiency capacity model innovation energy storage efficiency innovation technology efficiency,Topic_1,"Energy & Technology & Energy (battery, efficiency)"
data emissions related to analysis impact carbon carbon with climate climate analysis climate also impact data,doc_19,Sustainable Energy,None,doc_18,data emission relate analysis impact carbon carbon climate climate analysis climate impact datum,Topic_11,"Energy & Impact & Carbon (datum, emission)"
readmission hospital and hospital healthcare prediction analytics for,doc_20,Healthcare Analytics,None,doc_19,readmission hospital hospital healthcare prediction analytic,Topic_8,"Healthcare & Prediction & Hospital (analytic, healthcare)"
projects numpy specifically projects matplotlib projects python related to,doc_21,Data Science,None,doc_20,project numpy specifically project matplotlib project python relate,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
models deep including neural learning forecasting networks including artificial training intelligence learning also deep networks learning networks and,doc_22,AI Technology,Sustainable Energy,doc_21,model deep include neural learning forecasting network include artificial training intelligence learning deep network learn network,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
financial algorithmic concerning prediction financial,doc_23,Financial Technology,None,doc_22,financial algorithmic concern prediction financial,Topic_10,"Financial & Analysis & Prediction (market, financial)"
energy capacity with technology batteries energy storage related to,doc_24,Sustainable Energy,None,doc_23,energy capacity technology battery energy storage relate,Topic_1,"Energy & Technology & Energy (battery, efficiency)"
prevention hospital related to analytics prediction healthcare healthcare with hospital prediction prevention,doc_25,Healthcare Analytics,None,doc_24,prevention hospital relate analytic prediction healthcare healthcare hospital prediction prevention,Topic_8,"Healthcare & Prediction & Hospital (analytic, healthcare)"
transactions models and transactions ledger algorithms transactions about distributed contracts models transactions related to distributed models transactions smart,doc_26,Financial Technology,Data Science,doc_25,transaction model transaction ledger algorithm transaction distribute contract model transaction relate distribute model transaction smart,Topic_4,"Transaction & Distribute (smart, blockchain)"
matplotlib projects regarding visualization visualization visualization matplotlib related to matplotlib matplotlib pandas data including python science science,doc_27,Data Science,None,doc_26,matplotlib project visualization visualization visualization matplotlib relate matplotlib matplotlib panda datum include python science science,Topic_14,"Data Science & Visualization & Datum (matplotlib, science)"
data networks concerning intelligence deep training artificial,doc_28,AI Technology,None,doc_27,data network concern intelligence deep training artificial,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
analysis algorithmic including financial prediction financial analysis specifically prediction algorithmic risk trading and trading financial models market,doc_29,Financial Technology,None,doc_28,analysis algorithmic include financial prediction financial analysis specifically prediction algorithmic risk trading trade financial model market,Topic_10,"Financial & Analysis & Prediction (market, financial)"
text generation specifically deep learning generation generation generation specifically deep learning bert diagnosis deep learning in terms of diagnosis natural generation gpt related to processing,doc_30,AI Technology,Healthcare Analytics,doc_29,text generation specifically deep learn generation generation generation specifically deep learn bert diagnosis deep learning term diagnosis natural generation gpt relate processing,Topic_0,"Language & Generation (token, natural)"
prediction gpt also transformers natural tokens processing in terms of generation tokens gpt,doc_31,AI Technology,Sustainable Energy,doc_30,prediction gpt transformer natural token processing term generation token gpt,Topic_0,"Language & Generation (token, natural)"
grid consumption specifically analysis smart grid analysis about smart optimization,doc_32,Sustainable Energy,None,doc_31,grid consumption specifically analysis smart grid analysis smart optimization,Topic_6,"Energy & Optimization & Grid (consumption, analysis)"
models models in terms of climate models data monitoring with reduction carbon carbon climate related to optimization climate reduction,doc_33,Sustainable Energy,AI Technology,doc_32,model model term climate model data monitoring reduction carbon carbon climate relate optimization climate reduction,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
prediction trading regarding trading analysis market market including trading market algorithmic risk,doc_34,Financial Technology,None,doc_33,prediction trading trade analysis market market include trading market algorithmic risk,Topic_10,"Financial & Analysis & Prediction (market, financial)"
digital banking including fintech fintech payments banking regarding technology digital technology payments including blockchain technology,doc_35,Financial Technology,None,doc_34,digital banking include fintech fintech payment banking technology digital technology payment include blockchain technology,Topic_5,"Financial & Fintech & Technology (digital, banking)"
monitoring analysis also climate analysis emissions climate with climate emissions climate impact for,doc_36,Sustainable Energy,None,doc_35,monitor analysis climate analysis emission climate climate emission climate impact,Topic_11,"Energy & Impact & Carbon (datum, emission)"
pathology imaging related to diagnosis imaging learning medical and deep,doc_37,Healthcare Analytics,None,doc_36,pathology imaging relate diagnosis imaging learning medical deep,Topic_9,"AI & Medical & Detection (imaging, deep)"
support patient with decision decision evidence evidence,doc_38,Healthcare Analytics,None,doc_37,support patient decision decision evidence evidence,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
prediction medical imaging specifically detection analysis diagnosis imaging for analysis,doc_39,Healthcare Analytics,AI Technology,doc_38,prediction medical imaging specifically detection analysis diagnosis imaging analysis,Topic_9,"AI & Medical & Detection (imaging, deep)"
